days,healthy pop,cd4 depl
106.6786787,-2.46E-10,2.85E-07
106.8448448,-2.30E-10,2.84E-07
107.011011,-2.13E-10,2.83E-07
107.1771772,-1.95E-10,2.82E-07
107.3433433,-1.76E-10,2.81E-07
107.5095095,-1.57E-10,2.79E-07
107.6756757,-1.38E-10,2.78E-07
107.8418418,-1.17E-10,2.77E-07
108.008008,-9.63E-11,2.76E-07
108.1741742,-7.47E-11,2.75E-07
108.3403403,-6.16E-11,2.74E-07
108.5065065,-6.42E-11,2.72E-07
108.6726727,-6.67E-11,2.71E-07
108.8388388,-6.91E-11,2.70E-07
109.005005,-7.14E-11,2.69E-07
109.1711712,-7.36E-11,2.68E-07
109.3373373,-7.58E-11,2.67E-07
109.5035035,-7.79E-11,2.66E-07
109.6696697,-7.98E-11,2.65E-07
109.8358358,-8.17E-11,2.64E-07
110.002002,-8.35E-11,2.63E-07
110.1681682,-8.53E-11,2.62E-07
110.3343343,-8.69E-11,2.61E-07
110.5005005,-8.85E-11,2.60E-07
110.6666667,-8.99E-11,2.60E-07
110.8328328,-9.13E-11,2.59E-07
110.998999,-9.26E-11,2.58E-07
111.1651652,-9.38E-11,2.57E-07
111.3313313,-9.50E-11,2.56E-07
111.4974975,-9.60E-11,2.55E-07
111.6636637,-9.70E-11,2.54E-07
111.8298298,-9.79E-11,2.54E-07
111.995996,-9.87E-11,2.53E-07
112.1621622,-9.94E-11,2.52E-07
112.3283283,-1.00E-10,2.51E-07
112.4944945,-1.01E-10,2.51E-07
112.6606607,-1.01E-10,2.50E-07
112.8268268,-1.01E-10,2.49E-07
112.992993,-1.02E-10,2.48E-07
113.1591592,-1.02E-10,2.48E-07
113.3253253,-1.02E-10,2.47E-07
113.4914915,-1.02E-10,2.46E-07
113.6576577,-1.02E-10,2.46E-07
113.8238238,-1.02E-10,2.45E-07
113.98999,-1.02E-10,2.44E-07
114.1561562,-1.01E-10,2.44E-07
114.3223223,-1.01E-10,2.43E-07
114.4884885,-1.00E-10,2.42E-07
114.6546547,-9.99E-11,2.42E-07
114.8208208,-9.92E-11,2.41E-07
114.986987,-9.85E-11,2.40E-07
115.1531532,-9.77E-11,2.40E-07
115.3193193,-9.68E-11,2.39E-07
115.4854855,-9.58E-11,2.39E-07
115.6516517,-9.47E-11,2.38E-07
115.8178178,-9.36E-11,2.38E-07
115.983984,-9.23E-11,2.37E-07
116.1501502,-9.10E-11,2.37E-07
116.3163163,-8.96E-11,2.36E-07
116.4824825,-8.81E-11,2.36E-07
116.6486486,-8.65E-11,2.35E-07
116.8148148,-8.49E-11,2.35E-07
116.980981,-8.31E-11,2.34E-07
117.1471471,-8.13E-11,2.34E-07
117.3133133,-7.94E-11,2.33E-07
117.4794795,-7.74E-11,2.33E-07
