days,pop,immunesupressed_flow,HD79,HD79_flow,145-97,145-97_flow,396-09,396-09_flow,274-98,274-98_flow,174-97,174-97_flow,GM04,GM04_flow
88.06806807,0.008701971,0.04084211,0.05958687,0.001681579,0.047038029,1.10E-07,0.004687157,1.527260453,0.000348594,0.00194568,7.13E-06,-3.23E-05,0.019092902,0.086284869
88.23423423,0.008623344,0.040534194,0.058926907,0.001652855,0.046648384,1.09E-07,0.004576407,1.505295087,0.000343225,0.001921483,6.81E-06,-3.51E-05,0.018956835,0.085792058
88.4004004,0.008545914,0.040227809,0.058277214,0.001623975,0.046263089,1.08E-07,0.004468356,1.480954011,0.000337968,0.001897435,6.50E-06,-3.72E-05,0.0188227,0.085306856
88.56656657,0.00846966,0.039923356,0.057637607,0.00159494,0.045882086,1.07E-07,0.004362937,1.454308636,0.000332818,0.001873482,6.20E-06,-3.88E-05,0.018690464,0.084829217
88.73273273,0.008394561,0.039623358,0.057007906,0.001565748,0.045505315,1.06E-07,0.004260084,1.425350997,0.000327775,0.001849571,5.92E-06,-3.98E-05,0.018560099,0.0843591
88.8988989,0.008320596,0.039327719,0.056387934,0.001536401,0.04513272,1.05E-07,0.004159733,1.394250136,0.000322836,0.001825648,5.64E-06,-4.02E-05,0.018431575,0.083896471
89.06506507,0.008247748,0.039036347,0.055777518,0.001506898,0.044764244,1.03E-07,0.004061819,1.36109639,0.000317997,0.001801659,5.39E-06,-4.00E-05,0.018304862,0.083441304
89.23123123,0.008175995,0.038749152,0.055176489,0.001477239,0.044399832,1.02E-07,0.003966282,1.325938578,0.000313258,0.001777548,5.14E-06,-3.92E-05,0.018179934,0.082993578
89.3973974,0.00810532,0.038466046,0.05458468,0.001447424,0.044039429,1.01E-07,0.003873063,1.289055546,0.000308614,0.001753261,4.91E-06,-3.78E-05,0.018056762,0.08254859
89.56356356,0.008035704,0.038186943,0.054001929,0.001417453,0.043682982,1.00E-07,0.003782103,1.250511552,0.000304065,0.00172874,4.68E-06,-3.58E-05,0.017935319,0.082108231
89.72972973,0.00796713,0.037911759,0.053428075,0.001387326,0.043330437,9.89E-08,0.003693345,1.210459427,0.000299608,0.00170393,4.47E-06,-3.32E-05,0.017815579,0.081674015
89.8958959,0.007899578,0.037640412,0.052862962,0.001357042,0.042981743,9.77E-08,0.003606735,1.169144369,0.000295241,0.001678773,4.26E-06,-3.00E-05,0.017697514,0.081245848
90.06206206,0.007833033,0.037372823,0.052306437,0.001326603,0.042636849,9.66E-08,0.003522219,1.126693798,0.000290963,0.001656111,4.07E-06,-2.61E-05,0.017581101,0.080823638
90.22822823,0.007767477,0.037108913,0.05175835,0.001296007,0.042295704,9.54E-08,0.003439744,1.08330212,0.00028677,0.00163913,3.88E-06,-2.16E-05,0.017466312,0.080407298
90.39439439,0.007702893,0.036848609,0.051218554,0.001265255,0.041958258,9.43E-08,0.00335926,1.039183806,0.000282661,0.001622474,3.71E-06,-1.65E-05,0.017353125,0.079996744
90.56056056,0.007639266,0.036591837,0.050686903,0.001234347,0.041624463,9.31E-08,0.003280716,0.994510936,0.000278634,0.001606112,3.54E-06,-1.07E-05,0.017241514,0.079591894
90.72672673,0.007576578,0.036338528,0.050163256,0.001203282,0.04129427,9.19E-08,0.003204065,0.949498389,0.000274688,0.001590014,3.37E-06,-4.28E-06,0.017131456,0.079192672
90.89289289,0.007514815,0.036088612,0.049647473,0.001172061,0.040967632,9.08E-08,0.003129259,0.90434945,0.000270819,0.00157415,3.22E-06,-5.58E-06,0.017022926,0.078799005
91.05905906,0.007453962,0.035842025,0.049139418,0.001140684,0.040644503,8.96E-08,0.003056253,0.85926026,0.000267028,0.001558488,3.07E-06,-7.39E-06,0.016915904,0.078410824
